sentence_id,token,label
18,Pilot,COMPANY
18,Flying,COMPANY
18,J,COMPANY
18,for,O
18,$,CURRENCY
18,8.2,CURRENCY
18,billion,CURRENCY
18,.,O
19,The,O
19,yield,INDICATOR
19,curve,INDICATOR
19,inverted,O
19,as,O
19,10,O
19,-,O
19,year,O
19,Treasury,INDICATOR
19,yields,INDICATOR
19,fell,O
19,below,O
19,2,O
19,-,O
19,year,O
19,rates,O
19,.,O
20,Alibaba,COMPANY
20,BABA,TICKER
20,faced,O
20,delisting,EVENT
20,risk,O
20,after,O
20,SEC,COMPANY
20,issued,O
20,a,O
20,non,O
20,-,O
20,compliance,O
20,notice,O
20,.,O
21,Elon,O
21,Musk,O
21,sold,O
21,$,CURRENCY
21,6.9,CURRENCY
21,billion,CURRENCY
21,in,O
21,Tesla,COMPANY
21,TSLA,TICKER
21,stock,O
21,to,O
21,fund,O
21,the,O
21,Twitter,COMPANY
21,acquisition,EVENT
21,.,O
22,The,O
22,PPI,INDICATOR
22,rose,O
22,0.7,O
22,%,O
22,in,O
22,October,O
22,above,O
22,economist,O
22,expectations,O
22,of,O
22,0.4,O
22,%,O
22,.,O
23,Visa,COMPANY
23,V,TICKER
23,reported,O
23,strong,O
23,Q4,O
23,results,O
23,with,O
23,net,INDICATOR
23,income,INDICATOR
23,up,O
23,19,O
23,%,O
23,year,O
23,-,O
23,over,O
23,-,O
23,year,O
23,.,O
24,The,O
24,Dow,INDICATOR
24,Jones,INDICATOR
24,Industrial,INDICATOR
24,Average,INDICATOR
24,fell,O
24,800,O
24,points,O
24,following,O
24,the,O
24,Fed,COMPANY
24,rate,O
24,hike,EVENT
24,announcement,O
24,.,O
25,Pfizer,COMPANY
25,PFE,TICKER
25,completed,O
25,its,O
25,merger,EVENT
25,with,O
25,Seagen,COMPANY
25,for,O
25,$,CURRENCY
25,43,CURRENCY
25,billion,CURRENCY
25,in,O
25,cash,O
25,.,O
